epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,439.578,1.57978,1.87529,1.68483,0.41433,0.35616,0.33492,0.20635,1.82686,2.16281,1.87342,0.0009308,0.0009308,0.0009308
56,446.843,1.49697,1.72577,1.58405,0.49538,0.32877,0.34055,0.2126,1.76766,2.20281,1.83516,0.000911,0.000911,0.000911
57,453.793,1.50713,1.74602,1.59672,0.54836,0.34247,0.36826,0.22526,1.77888,2.03397,1.8588,0.0008912,0.0008912,0.0008912
58,459.39,1.52664,1.80631,1.62829,0.47071,0.34247,0.3801,0.19671,1.88962,2.03992,1.92338,0.0008714,0.0008714,0.0008714
59,465.411,1.50765,1.79258,1.64339,0.59852,0.31507,0.37997,0.22944,1.8446,2.08576,1.86645,0.0008516,0.0008516,0.0008516
60,471.492,1.51243,1.74014,1.59084,0.49226,0.35863,0.36837,0.1859,1.85632,2.17157,1.89472,0.0008318,0.0008318,0.0008318
61,477.253,1.4394,1.56001,1.55799,0.67329,0.32877,0.39199,0.21078,1.77027,2.06202,1.81111,0.000812,0.000812,0.000812
62,483.23,1.5002,1.68097,1.54844,0.55175,0.39726,0.39407,0.2337,1.78169,2.00476,1.80188,0.0007922,0.0007922,0.0007922
63,490.031,1.50768,1.77947,1.5774,0.5607,0.31507,0.35312,0.21343,1.78812,2.16916,1.80135,0.0007724,0.0007724,0.0007724
64,496.524,1.49248,1.7212,1.62191,0.51388,0.34247,0.36374,0.21493,1.73822,1.98001,1.78376,0.0007526,0.0007526,0.0007526
65,503.081,1.41289,1.60148,1.53818,0.36427,0.35616,0.31745,0.1917,1.79391,2.17614,1.83616,0.0007328,0.0007328,0.0007328
66,507.729,1.50145,1.69707,1.58439,0.52377,0.35616,0.35894,0.21245,1.78212,2.06761,1.83186,0.000713,0.000713,0.000713
67,512.993,1.5028,1.68928,1.61552,0.47997,0.36986,0.37747,0.20043,1.78418,2.03132,1.8652,0.0006932,0.0006932,0.0006932
68,518.869,1.45165,1.70564,1.58465,0.39129,0.38356,0.34731,0.18413,1.82132,2.14711,1.85165,0.0006734,0.0006734,0.0006734
69,524.485,1.47588,1.64361,1.56357,0.58711,0.29227,0.38018,0.2176,1.75068,2.10623,1.77113,0.0006536,0.0006536,0.0006536
70,529.226,1.42919,1.65065,1.54716,0.48481,0.31507,0.33213,0.2106,1.71458,2.20207,1.83408,0.0006338,0.0006338,0.0006338
71,534.673,1.39808,1.60928,1.4745,0.33598,0.43836,0.34248,0.19753,1.79144,2.20788,1.84745,0.000614,0.000614,0.000614
72,540.122,1.43513,1.57794,1.56144,0.39363,0.36464,0.33757,0.18834,1.85327,2.22009,1.88707,0.0005942,0.0005942,0.0005942
73,545.069,1.43377,1.60102,1.56033,0.50408,0.32877,0.33293,0.18765,1.82371,2.13636,1.86588,0.0005744,0.0005744,0.0005744
74,549.762,1.41933,1.58379,1.52599,0.42447,0.39726,0.3505,0.20453,1.72866,2.14592,1.79889,0.0005546,0.0005546,0.0005546
75,554.519,1.47524,1.62025,1.5628,0.44295,0.41096,0.38054,0.22085,1.77233,2.00504,1.80951,0.0005348,0.0005348,0.0005348
76,559.599,1.4415,1.662,1.62066,0.59727,0.34542,0.38267,0.21704,1.74331,2.06629,1.76869,0.000515,0.000515,0.000515
77,564.942,1.38848,1.61687,1.51162,0.41857,0.36986,0.36091,0.20624,1.7782,2.10443,1.79905,0.0004952,0.0004952,0.0004952
78,571.139,1.41281,1.54591,1.55663,0.39703,0.37889,0.31491,0.17577,1.84629,2.29617,1.86351,0.0004754,0.0004754,0.0004754
79,576.78,1.36209,1.48922,1.45852,0.3771,0.31507,0.30785,0.17339,1.896,2.24103,1.90118,0.0004556,0.0004556,0.0004556
80,581.412,1.42925,1.58315,1.54415,0.48279,0.35616,0.33925,0.20992,1.75241,2.14461,1.80413,0.0004358,0.0004358,0.0004358
